City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,salto,-31.3833,-57.9667,23.26,58,42,1.79,UY,1702166547
140,kuala belait,4.5833,114.1833,25.09,89,35,1.73,BN,1702166558
141,aykhal,66.0,111.5,-29.76,98,100,2.52,RU,1702166558
142,hithadhoo,-0.6,73.0833,27.8,77,100,1.57,MV,1702166559
143,okhotsk,59.3833,143.3,-0.73,96,100,12.71,RU,1702166559
144,sandnessjoen,66.0217,12.6316,-3.71,80,40,11.0,NO,1702166559
145,hell-ville,-13.4,48.2667,27.47,77,91,2.69,MG,1702166559
146,hilo,19.7297,-155.09,26.72,82,27,1.79,US,1702166560
147,kabalo,-6.05,26.9167,20.79,98,76,0.87,CD,1702166560
148,namibe,-15.1961,12.1522,24.07,80,99,2.62,AO,1702166560
149,tamandare,-8.7597,-35.1047,25.89,74,68,4.59,BR,1702166560
150,lazaro cardenas,17.9583,-102.2,26.54,76,20,2.0,MX,1702166560
151,nanao,37.05,136.9667,13.43,86,78,0.96,JP,1702166560
152,shahdad kot,27.8477,67.9055,16.35,26,7,1.63,PK,1702166561
153,geraldton,-28.7667,114.6,25.23,20,0,11.32,AU,1702166261
154,crane,31.3974,-102.3501,9.65,33,1,10.83,US,1702166561
155,gaiman,-43.2897,-65.4929,19.73,39,12,2.52,AR,1702166561
156,mogocha,53.7333,119.7667,-33.39,93,17,1.6,RU,1702166561
157,polyarnyy,69.1989,33.4478,-13.59,92,98,7.65,RU,1702166561
158,ekibastuz,51.6667,75.3667,-24.3,84,25,1.91,KZ,1702166561
159,ati,13.2154,18.3353,21.25,15,97,4.07,TD,1702166562
160,kamina,-8.7386,24.9906,18.1,97,99,0.67,CD,1702166562
161,lesogorsk,56.0458,99.5136,-33.76,100,70,0.71,RU,1702166562
162,wailua homesteads,22.0669,-159.378,26.59,69,8,2.24,US,1702166505
163,chilliwack,49.1747,-121.9443,1.82,99,100,1.03,CA,1702166562
164,veraval,20.9,70.3667,21.31,44,0,5.21,IN,1702166524
165,shitanjing,39.2342,106.3439,0.3,34,100,1.01,CN,1702166563
166,colonia,50.9333,6.95,11.05,72,75,9.77,DE,1702166535
167,yuzhno-kurilsk,44.0306,145.8556,3.54,75,63,6.58,RU,1702166563
168,torghay,49.6339,63.4981,-18.02,50,6,3.06,KZ,1702166563
169,holyhead,53.3062,-4.6321,10.0,71,66,10.8,GB,1702166564
170,gobabis,-22.45,18.9667,25.35,24,60,5.6,NA,1702166564
171,illizi,26.4833,8.4667,8.89,52,0,2.78,DZ,1702166268
172,naze,28.3667,129.4833,21.51,72,98,6.11,JP,1702166564
173,winnemucca,40.973,-117.7357,3.03,41,0,1.54,US,1702166565
174,richards bay,-28.783,32.0377,21.33,95,100,5.75,ZA,1702166284
175,guisa,20.255,-76.5386,22.04,96,49,2.2,CU,1702166565
176,remedios,22.4947,-79.5458,22.51,78,86,6.93,CU,1702166565
177,qionghai,19.2425,110.4642,22.39,87,72,1.59,CN,1702166565
178,sydney mines,46.2367,-60.2177,1.67,91,20,2.06,CA,1702166527
179,anadyr,64.75,177.4833,-25.72,76,68,4.0,RU,1702166566
180,lebu,-37.6167,-73.65,12.93,79,0,9.9,CL,1702166566
181,bonanza,14.0289,-84.591,22.29,98,20,1.04,NI,1702166566
182,ola,59.5833,151.2833,-3.25,83,100,6.62,RU,1702166566
183,beihai,21.4833,109.1,22.44,88,44,3.76,CN,1702166566
184,alice springs,-23.7,133.8833,14.75,94,100,6.69,AU,1702166507
185,masterton,-40.9597,175.6575,14.94,87,100,3.58,NZ,1702166278
186,sterling,39.0062,-77.4286,10.64,73,0,1.54,US,1702166383
187,susuman,62.7833,148.1667,-16.68,97,100,0.89,RU,1702166513
188,kone,-21.0595,164.8658,29.04,42,97,3.85,NC,1702166567
189,chonchi,-42.6128,-73.8092,13.95,80,96,0.84,CL,1702166567
190,loboc,9.6383,124.0348,27.28,79,10,3.97,PH,1702166567
191,remire-montjoly,4.9167,-52.2667,26.02,89,20,0.0,GF,1702166553
192,mont-tremblant,46.1949,-74.6264,1.44,100,100,0.51,CA,1702165988
193,wynyard,-41.0,145.7167,14.88,62,100,3.45,AU,1702166568
194,palikir - national government center,6.9248,158.1611,30.41,74,100,3.6,FM,1702166271
195,kertih,4.5141,103.4483,25.01,94,20,0.0,MY,1702166568
196,vila franca do campo,37.7167,-25.4333,19.23,99,99,7.4,PT,1702166568
197,wakkanai,45.4094,141.6739,-3.01,85,75,10.8,JP,1702166504
198,sabang,5.8933,95.3214,27.15,77,98,2.69,ID,1702166569
199,luza,60.6308,47.2512,-23.76,99,12,1.91,RU,1702166569
200,mareeba,-17.0,145.4333,29.71,58,11,1.37,AU,1702166569
201,wloszczowa,50.8526,19.9659,-1.52,93,89,3.35,PL,1702166182
202,coquimbo,-29.9533,-71.3436,17.85,77,0,4.12,CL,1702165997
203,chibougamau,49.9168,-74.3659,-0.21,93,100,5.66,CA,1702166551
204,stornoway,58.2093,-6.3865,8.98,95,100,2.57,GB,1702166570
205,callao,-12.0667,-77.15,23.18,77,75,6.69,PE,1702166430
206,rio claro,-22.4114,-47.5614,20.51,75,36,4.93,BR,1702166570
207,acarau,-2.8856,-40.12,26.95,78,54,8.42,BR,1702166571
208,zouerate,22.7187,-12.4521,20.98,23,100,3.48,MR,1702166286
209,yaren,-0.5472,166.916,28.21,74,100,2.48,NR,1702166571
210,karratha,-20.7377,116.8463,28.97,26,57,11.94,AU,1702166571
211,georgetown,5.4112,100.3354,26.96,92,20,2.06,MY,1702166571
212,dhrangadhra,22.9833,71.4667,18.65,45,1,2.87,IN,1702166572
213,egilsstadir,65.2653,-14.3948,-3.05,86,75,1.03,IS,1702166572
214,mount isa,-20.7333,139.5,34.87,41,1,4.63,AU,1702166572
215,talnakh,69.4865,88.3972,-34.24,98,99,3.26,RU,1702166573
216,homer,59.6425,-151.5483,-5.06,75,40,0.0,US,1702166478
